fond,projet,metrique,fenetre_mois,direction_brute,direction_decorrelée,variation_pct,impact_decorrelé,btc_return
FBG Capital,CAKE,Price,1,Stable,Négative,-1.886792452830182,-12.527771950100735,22.19426172484054
Galaxy Digital,LDO,Price,1,Négative,Stable,-5.000000000000004,-3.590420168960893,-2.940009770732397
Galaxy Digital,1INCH,Price,1,Stable,Négative,0.0,-6.7396308150319895,14.057082834901466
Arca,RDNT,Price,1,Stable,Positive,0.0,7.874618867668567,-16.424366965205888
Jump Crypto,DYDX,Price,6,Stable,Négative,0.0,-24.579903976471442,50.225589398210936
HashKey Capital,ATOM,Price,12,Positive,Négative,5.932203389830502,-70.16805251720604,164.0581091453798
Galaxy Digital,1INCH,Price,12,Positive,Négative,33.33333333333335,-37.38221942163802,152.4496827753537
FBG Capital,CAKE,Circulating supply,1,Positive,Stable,5.801236329053733,4.926099643080065,22.19426172484054
Arca,LPT,Circulating supply,6,Stable,Positive,3.361344537815126,6.145232627378156,56.003673589251605
Lemniscap,AVAX,Circulating supply,12,Stable,Positive,2.827637078927957,9.953038063664446,58.607958418556095
Three Arrows Capital,LINK,Circulating supply,12,Positive,Stable,5.652267354395014,-2.42290242788033,-66.42001142618874
Arrington XRP Capital,BAL,Fully diluted market cap,1,Stable,Négative,0.0,-12.720406178149602,26.783636858639564
FBG Capital,CAKE,Fully diluted market cap,1,Stable,Négative,-1.5873015873015872,-12.128066661670612,22.19426172484054
Galaxy Digital,1INCH,Fully diluted market cap,1,Positive,Stable,6.1409179056237875,-0.5352405370696376,14.057082834901466
Galaxy Digital,1INCH,Fully diluted market cap,12,Positive,Négative,37.62120232708468,-40.3008137772324,152.4496827753537
Arrington XRP Capital,SNX,Circulating market cap,1,Stable,Négative,0.0,-12.426737509205228,26.783636858639564
Arrington XRP Capital,BAL,Circulating market cap,1,Stable,Négative,3.4426229508196724,-8.984114558385556,26.783636858639564
Mechanism Capital,BNT,Circulating market cap,1,Positive,Stable,8.333333333333332,-0.5144233496243622,19.069776104500367
HashKey Capital,ATOM,Circulating market cap,1,Stable,Négative,-2.857142857142857,-12.20550861779061,20.148750512309075
FBG Capital,CAKE,Circulating market cap,1,Stable,Négative,2.2222222222222223,-8.07519429820184,22.19426172484054
